# confusables.txt
# Ngày: 22/07/2025, 05:49:37 GMT
# © 2025 Unicode®, Inc.
# Unicode và Logo Unicode là các nhãn hiệu đã được đăng ký của Unicode, Inc. tại Hoa Kỳ và các quốc gia khác.
# Để biết các điều khoản sử dụng và giấy phép, vui lòng xem https://www.unicode.org/terms_of_use.html
#
# Cơ chế bảo mật Unicode cho UTS #39
# Phiên bản: 17.0.0
#
# Để biết tài liệu và hướng dẫn sử dụng, vui lòng xem https://www.unicode.org/reports/tr39
#
05AD ; 0596 ; MA # ( ֭ → ֖ ) GIỌNG HEBREW DEHI → GIẤC HEBREW TIPEHA #
1D475 ; 004E ; MA # ( 𝑵 → N ) CHỮ IN ĐẬM IN NGHIÊNG CHỮ IN HOA N → CHỮ IN HOA LATIN N #
1D4A9 ; 004E ; MA # ( 𝒩 → N ) CHỮ CÁI VIẾT HOA TRONG TOÁN HỌC → CHỮ CÁI VIẾT HOA TRONG LATIN N #
1D4DD ; 004E ; MA # ( 𝓝 → N ) CHỮ IN HOA TOÁN HỌC → CHỮ IN HOA LATIN N #
1D511 ; 004E ; MA # ( 𝔑 → N ) MATHEMATICAL FRAKTUR CAPITAL N → LATIN CAPITAL LETTER N #
1D579 ; 004E ; MA # ( 𝕹 → N ) CHỮ IN HOA TOÁN HỌC FRAKTUR → CHỮ IN HOA LATIN N #
1D5AD ; 004E ; MA # ( 𝖭 → N ) CHỮ CÁI IN HOA TOÁN HỌC KHÔNG CHÂN → CHỮ CÁI IN HOA LATIN N #
1D5E1 ; 004E ; MA # ( 𝗡 → N ) MATHEMATICAL SANS-SERIF BOLD CAPITAL N → LATIN CAPITAL LETTER N #
1D615 ; 004E ; MA # ( 𝘕 → N ) CHỮ IN HOA TOÁN HỌC KHÔNG CHÂN → CHỮ IN HOA LATIN N #
1D649 ; 004E ; MA # ( 𝙉 → N ) MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL N → LATIN CAPITAL LETTER N #
1D67D ; 004E ; MA # ( 𝙽 → N ) CHỮ CÁI IN HOA TOÁN HỌC → CHỮ CÁI IN HOA LATIN N #
039D ; 004E ; MA # ( Ν → N ) CHỮ CÁI HY LẠP VIẾT HOA NU → CHỮ CÁI LATIN VIẾT HOA N #
1D6B4 ; 004E ; MA # ( 𝚴 → N ) CHỮ IN HOA TOÁN HỌC NU → CHỮ IN HOA LATIN N # →𝐍→
1D6EE ; 004E ; MA # ( 𝛮 → N ) CHỮ IN HOA TOÁN HỌC NU → CHỮ IN HOA LATIN N # →𝑁→
1D728 ; 004E ; MA # ( 𝜨 → N ) CHỮ IN ĐẬM IN NGHIÊNG IN HOA NU → CHỮ IN HOA LATIN N # →𝑵→
1D762 ; 004E ; MA # ( 𝝢 → N ) MATHEMATICAL SANS-SERIF BOLD CAPITAL NU → LATIN CAPITAL LETTER N # →Ν→
1D79C ; 004E ; MA # ( 𝞜 → N ) MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL NU → LATIN CAPITAL LETTER N # →Ν→
2C9A ; 004E ; MA # ( Ⲛ → N ) CHỮ CÁI VIẾT HOA COPTIC NI → CHỮ CÁI VIẾT HOA LATIN N #
A4E0 ; 004E ; MA # ( ꓠ → N ) LISU CHƯ NA → CHỮ HOA LATIN N #
10513 ; 004E ; MA # ( 𐔓 → N ) CHỮ CÁI ELBASAN NE → CHỮ CÁI LATIN VIẾT HOA N #

1018E ; 004E 030A ; MA #* ( 𐆎 → N̊ ) NOMISMA SIGN → LATIN CAPITAL LETTER N, COMBINING RING ABOVE # →Νͦ→

0273 ; 006E 0328 ; MA # ( ɳ → n̨ ) CHỮ CÁI LATIN THƯỜNG N CÓ MÓC PHẢN XẠ → CHỮ CÁI LATIN THƯỜNG N, KẾT HỢP OGONEK # →n̢→

019E ; 006E 0329 ; MA # ( ƞ → n̩ ) CHỮ CÁI LATIN THƯỜNG N CÓ CHÂN PHẢI DÀI → CHỮ CÁI LATIN THƯỜNG N, KẾT HỢP VỚI ĐƯỜNG DỌC BÊN DƯỚI #
014B ; 006E 0329 ; MA # ( ŋ → n̩ ) CHỮ CÁI LATIN THƯỜNG ENG → CHỮ CÁI LATIN THƯỜNG N, KẺ KẾT HỢP DỌC BÊN DƯỚI # →η→→ƞ→
03B7 ; 006E 0329 ; MA # ( η → n̩ ) CHỮ CÁI HY LẠP THƯỜNG ETA → CHỮ CÁI LATIN THƯỜNG N, KẾT HỢP DỌC BÊN DƯỚI # →ƞ→
1D6C8 ; 006E 0329 ; MA # ( 𝛈 → n̩ ) CHỮ IN ĐẬM TOÁN HỌC CHỮ NHỎ ETA → CHỮ LATIN NHỎ N, KẾT HỢP DỌC BÊN DƯỚI # →η→→ƞ→
1D702 ; 006E 0329 ; MA # ( 𝜂 → n̩ ) CHỮ IN NGHIÊNG TOÁN HỌC CHỮ ETA NHỎ → CHỮ N LATIN NHỎ, KẾT HỢP VỚI DẤU GẠCH DỌC BÊN DƯỚI # →η→→ƞ→
1D73C ; 006E 0329 ; MA # ( 𝜼 → n̩ ) CHỮ IN ĐẬM IN NGHIÊNG CHỮ NHỎ ETA → CHỮ LATIN NHỎ N, KẾT HỢP DỌC BÊN DƯỚI # →η→→ƞ→
1D776 ; 006E 0329 ; MA # ( 𝝶 → n̩ ) MATHEMATICAL SANS-SERIF BOLD SMALL ETA → LATIN SMALL LETTER N, COMBINING VERTICAL LINE BELOW # →η→→ƞ→
1D7B0 ; 006E 0329 ; MA # ( 𝞰 → n̩ ) MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL ETA → LATIN SMALL LETTER N, COMBINING VERTICAL LINE BELOW # →η→→ƞ→
0572 ; 006E 0329 ; MA # ( ղ → n̩ ) CHỮ CÁI THƯỜNG ARMENIA GHAD → CHỮ CÁI THƯỜNG LATIN N, KẾT HỢP DỌC BÊN DƯỚI # →η→→ƞ→

019D ; 004E 0326 ; MA # ( Ɲ → N̦ ) CHỮ CÁI LATIN VIẾT HOA N CÓ MÓC TRÁI → CHỮ CÁI LATIN VIẾT HOA N, DẤU PHẨY KẾT HỢP BÊN DƯỚI # →N̡→

1D70 ; 006E 0334 ; MA # ( ᵰ → n̴ ) CHỮ CÁI LATIN THƯỜNG N CÓ DẤU NGANG Ở GIỮA → CHỮ CÁI LATIN THƯỜNG N, KẾT HỢP DẤU NGANG #

01CC ; 006E 006A ; MA # ( ǌ → nj ) CHỮ CÁI LATIN THƯỜNG NJ → CHỮ CÁI LATIN THƯỜNG N, CHỮ CÁI LATIN THƯỜNG J #

01CB ; 004E 006A ; MA # ( ǋ → Nj ) CHỮ CÁI LATIN VIẾT HOA N VỚI CHỮ CÁI LATIN THƯỜNG J → CHỮ CÁI LATIN VIẾT HOA N, CHỮ CÁI LATIN THƯỜNG J #

01CA ; 004E 004A ; MA # ( Ǌ → NJ ) CHỮ CÁI LATIN VIẾT HOA NJ → CHỮ CÁI LATIN VIẾT HOA N, CHỮ CÁI LATIN VIẾT HOA J #

2116 ; 004E 006F ; MA #* ( № → Không ) DẤU SỐ → CHỮ CÁI LATIN IN HOA N, CHỮ CÁI LATIN THƯỜNG O #

2C9B ; 0274 ; MA # ( ⲛ → ɴ ) CHỮ NI VIẾT THƯỜNG TRONG COPTIC → CHỮ N VIẾT HOA TRONG LATIN #

0377 ; 1D0E ; MA # ( ͷ → ᴎ ) CHỮ CÁI HY LẠP THƯỜNG PAMPHYLIAN DIGAMMA → CHỮ CÁI LATIN THƯỜNG VIẾT HOA ĐẢO NGƯỢC N # →и→
0438 ; 1D0E ; MA # ( и → ᴎ ) CHỮ CÁI THƯỜNG CYRILLIC I → CHỮ CÁI LATIN IN HOA ĐẢO NGƯỢC N #
1044D ; 1D0E ; MA # ( 𐑍 → ᴎ ) DESERET CHỮ THƯỜNG ENG → CHỮ LATIN CHỮ HOA THƯỜNG ĐẢO NGƯỢC N # →и→

0146 ; 0272 ; MA # ( ņ → ɲ ) CHỮ CÁI LATIN THƯỜNG N CÓ DẤU CHE → CHỮ CÁI LATIN THƯỜNG N CÓ DẤU MÓC TRÁI #

0C02 ; 006F ; MA # ( ం → o ) TELUGU KÝ ANUSVARA → CHỮ NHỎ LATIN O #
0C82 ; 006F ; MA # ( ಂ → o ) KANNADA KÝ ANUSVARA → CHỮ NHỎ LATIN O #
0D02 ; 006F ; MA # ( ം → o ) MALAYALAM KÝ ANUSVARA → CHỮ NHỎ LATIN O #
0D82 ; 006F ; MA # ( ං → o ) SINHALA KÝ ANUSVARAYA → CHỮ NHỎ LATIN O #
0966 ; 006F ; MA # ( ० → o ) CHỮ SỐ DEVANAGARI SỐ KHÔNG → CHỮ CÁI LATIN THƯỜNG O #
09E6 ; 006F ; MA # ( ০ → o ) CHỮ SỐ 0 TIẾNG BENGALI → CHỮ CÁI THƯỜNG LATIN O #
0A66 ; 006F ; MA # ( ੦ → o ) GURMUKHI CHỮ SỐ 0 → CHỮ LATIN NHỎ O #
0AE6 ; 006F ; MA # ( ૦ → o ) CHỮ SỐ 0 TIẾNG GUJARATI → CHỮ CÁI LATIN THƯỜNG O #
0B66 ; 006F ; MA # ( ୦ → o ) ORIYA CHỮ SỐ KHÔNG → CHỮ CÁI LATIN THƯỜNG O #
0BE6 ; 006F ; MA # ( ௦ → o ) CHỮ SỐ 0 TRONG TIẾNG TAMIL → CHỮ CÁI THƯỜNG TRONG TIẾNG LATIN O #
0C66 ; 006F ; MA # ( ౦ → o ) CHỮ SỐ KHÔNG TIẾNG TELUGU → CHỮ CÁI THƯỜNG LATIN O #
0D66 ; 006F ; MA # ( ൦ → o ) CHỮ SỐ 0 TRONG TIẾNG MALAYALAM → CHỮ CÁI THƯỜNG TRONG TIẾNG LATIN O #
0E50 ; 006F ; MA # ( ๐ → o ) CHỮ SỐ KHÔNG TRONG TIẾNG THÁI → CHỮ CÁI THƯỜNG TRONG TIẾNG LATIN O #
0ED0 ; 006F ; MA # ( ໐ → o ) CHỮ SỐ KHÔNG TRONG TIẾNG LÀO → CHỮ CÁI THƯỜNG TRONG TIẾNG LATIN O #
1040 ; 006F ; MA # ( ၀ → o ) CHỮ SỐ KHÔNG CỦA MYANMAR → CHỮ CÁI LATIN THƯỜNG O #
17E0 ; 006F ; MA # ( ០ → o ) CHỮ SỐ KHÔNG KHMER → CHỮ CÁI LATIN THƯỜNG O #
114D0 ; 006F ; MA # ( 𑓐 → o ) TIRHUTA CHỮ SỐ KHÔNG → CHỮ CÁI LATIN THƯỜNG O # →০→
0665 ; 006F ; MA # ( ‎٥‎ → o ) CHỮ SỐ Ả RẬP-CHỈ SỐ NĂM → CHỮ CÁI LATIN THƯỜNG O #
06F5 ; 006F ; MA # ( ۵ → o ) CHỮ SỐ MỞ RỘNG TRONG CHỮ SỐ Ả RẬP-CHỈ SỐ NĂM → CHỮ CÁI LATIN THƯỜNG O # →‎٥‎→
FF4F ; 006F ; MA # ( ｏ → o ) Chữ Latinh viết thường O → Chữ Latinh viết thường O # →о→
2134 ; 006F ; MA # ( ℴ → o ) CHỮ O VIẾT TAY THƯỜNG → CHỮ O LATIN THƯỜNG #
1D428 ; 006F ; MA # ( 𝐨 → o ) CHỮ O IN ĐẬM CHỮ O THƯỜNG → CHỮ O LATIN THƯỜNG #
1D45C ; 006F ; MA # ( 𝑜 → o ) CHỮ O NHỎ IN NGHIÊNG TOÁN HỌC → CHỮ O NHỎ LATIN #
1D490 ; 006F ; MA # ( 𝒐 → o ) CHỮ IN ĐẬM IN NGHIÊNG CHỮ O NHỎ → CHỮ LATIN CHỮ O NHỎ #
1D4F8 ; 006F ; MA # ( 𝓸 → o ) CHỮ IN ĐẬM TOÁN HỌC CHỮ O THƯỜNG → CHỮ LATIN THƯỜNG CHỮ O #
1D52C ; 006F ; MA # ( 𝔬 → o ) CHỮ O NHỎ TRONG TOÁN HỌC → CHỮ O NHỎ TRONG LATIN #
1D560 ; 006F ; MA # ( 𝕠 → o ) CHỮ O NHỎ GẮN HAI LẦN TRONG TOÁN HỌC → CHỮ O NHỎ TRONG LATIN #
1D594 ; 006F ; MA # ( 𝖔 → o ) MATHEMATICAL BOLD FRAKTUR SMALL O → LATIN SMALL LETTER O #
1D5C8 ; 006F ; MA # ( 𝗈 → o ) CHỮ O NHỎ KIỂU TOÁN HỌC KHÔNG CHÂN → CHỮ O NHỎ KIỂU LATIN #
1D5FC ; 006F ; MA # ( 𝗼 → o ) MATHEMATICAL SANS-SERIF BOLD SMALL O → LATIN SMALL LETTER O #
1D630 ; 006F ; MA # ( 𝘰 → o ) MATHEMATICAL SANS-SERIF ITALIC SMALL O → LATIN SMALL LETTER O #
1D664 ; 006F ; MA # ( 𝙤 → o ) MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL O → LATIN SMALL LETTER O #
1D698 ; 006F ; MA # ( 𝚘 → o ) TOÁN HỌC KHÔNG GIAN NHỎ O → CHỮ NHỎ LATIN O #
1D0F ; 006F ; MA # ( ᴏ → o ) CHỮ CÁI LATIN VIẾT HOA O → CHỮ CÁI LATIN VIẾT THƯỜNG O #
1D11 ; 006F ; MA # ( ᴑ → o ) CHỮ CÁI LATIN THƯỜNG NGANG O → CHỮ CÁI LATIN THƯỜNG O #
AB3D ; 006F ; MA # ( ꬽ → o ) CHỮ LATIN THƯỜNG CHỮ BLACKLETTER O → CHỮ LATIN THƯỜNG O #
03BF ; 006F ; MA # ( ο → o ) CHỮ CÁI HY LẠP OMICRON → CHỮ CÁI LATIN O #
1D6D0 ; 006F ; MA # ( 𝛐 → o ) CHỮ IN ĐẬM TOÁN HỌC CHỮ OMICRON NHỎ → CHỮ LATIN THƯỜNG O # →𝐨→
1D70A ; 006F ; MA # ( 𝜊 → o ) CHỮ IN NGHIÊNG TOÁN HỌC CHỮ OMICRON NHỎ → CHỮ LATIN THƯỜNG O # →𝑜→
1D744 ; 006F ; MA # ( 𝝄 → o ) CHỮ IN ĐẬM CHỮ IN NGHIÊNG CHỮ NHỎ OMICRON → CHỮ LATIN CHỮ NHỎ O # →𝒐→
1D77E ; 006F ; MA # ( 𝝾 → o ) MATHEMATICAL SANS-SERIF BOLD SMALL OMICRON → LATIN SMALL LETTER O # →ο→
1D7B8 ; 006F ; MA # ( 𝞸 → o ) MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL OMICRON → LATIN SMALL LETTER O # →ο→
03C3 ; 006F ; MA # ( σ → o ) CHỮ CÁI HY LẠP SIGMA → CHỮ CÁI LATIN O #
1D6D4 ; 006F ; MA # ( 𝛔 → o ) MATHEMATICAL BOLD SMALL SIGMA → LATIN SMALL LETTER O # →σ→
1D70E ; 006F ; MA # ( 𝜎 → o ) CHỮ CÁI NGẮN TOÁN HỌC → CHỮ CÁI LATIN THƯỜNG O # →σ→
1D748 ; 006F ; MA # ( 𝝈 → o ) MATHEMATICAL BOLD ITALIC SMALL SIGMA → LATIN SMALL LETTER O # →σ→
1D782 ; 006F ; MA # ( 𝞂 → o ) MATHEMATICAL SANS-SERIF BOLD SMALL SIGMA → LATIN SMALL LETTER O # →σ→
1D7BC ; 006F ; MA # ( 𝞼 → o ) MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL SIGMA → LATIN SMALL LETTER O # →σ→
2C9F ; 006F ; MA # ( ⲟ → o ) CHỮ O THƯỜNG COPTIC → CHỮ O THƯỜNG LATIN #
03ED ; 006F ; MA # ( ϭ → o ) CHỮ CÁI THƯỜNG COPTIC SHIMA → CHỮ CÁI THƯỜNG LATIN O # →σ→
043E ; 006F ; MA # ( о → o ) CHỮ THƯ NHỎ CYRILLIC O → CHỮ NHỎ LATIN O #
10FF ; 006F ; MA # ( ჿ → o ) CHỮ CÁI GEORGIAN DẤU MÔI → CHỮ CÁI LATIN THƯỜNG O #
0585 ; 006F ; MA # ( օ → o ) CHỮ CÁI THƯỜNG ARMENIA OH → CHỮ CÁI THƯỜNG LATIN O #
05E1 ; 006F ; MA # ( ‎ס‎ → o ) CHỮ HEBREW SAMEKH → CHỮ NHỎ LATIN O #
0647 ; 006F ; MA # ( ‎ه‎ → o ) CHỮ CÁI Ả RẬP HEH → CHỮ CÁI LATIN THƯỜNG O #
1EE24 ; 006F ; MA # ( ‎𞸤‎ → o ) CHỮ CÁI ĐẦU TIÊN TOÁN HỌC TIẾNG Ả RẬP HEH → CHỮ CÁI LATIN THƯỜNG O # →‎ه‎→
1EE64 ; 006F ; MA # ( ‎𞹤‎ → o ) CHỮ CÁI Ả RẬP KÉO DÀI HEH → CHỮ CÁI LATIN THƯỜNG O # →‎ه‎→
1EE84 ; 006F ; MA # ( ‎𞺄‎ → o ) CHỮ CÁI Ả RẬP VÒNG LẶP TOÁN HỌC HEH → CHỮ CÁI LATIN THƯỜNG O # →‎ه‎→
FEEB ; 006F ; MA # ( ‎ﻫ‎ → o ) CHỮ CÁI Ả RẬP HEH DẠNG CHỮ CÁI LATIN THƯỜNG O # →‎ه‎→
FEEC ; 006F ; MA # ( ‎ﻬ‎ → o ) CHỮ CÁI Ả RẬP HEH DẠNG TRUNG GIAN → CHỮ CÁI LATIN THƯỜNG O # →‎ه‎→
FEEA ; 006F ; MA # ( ‎ﻪ‎ → o ) CHỮ CÁI Ả RẬP HEH DẠNG CUỐI → CHỮ CÁI LATIN THƯỜNG O # →‎ه‎→
FEE9 ; 006F ; MA # ( ‎ﻩ‎ → o ) CHỮ CÁI Ả RẬP HEH DẠNG RIÊNG BIỆT → CHỮ CÁI LATIN THƯỜNG O # →‎ه‎→
06BE ; 006F ; MA # ( ‎ھ‎ → o ) CHỮ CÁI Ả RẬP HEH DOACHASHMEE → CHỮ CÁI LATIN THƯỜNG O # →‎ه‎→
FBAC ; 006F ; MA # ( ‎ﮬ‎ → o ) THƯ Ả RẬP HEH DOACHASHMEE MẪU BAN ĐẦU → THƯ LATIN NHỎ O # →‎ﻫ‎→→‎ه‎→
FBAD ; 006F ; MA # ( ‎ﮭ‎ → o ) CHỮ CÁI Ả RẬP HEH DOACHASHMEE DẠNG TRUNG GIAN → CHỮ CÁI LATIN THƯỜNG O # →‎ﻬ‎→→‎ه‎→
FBAB ; 006F ; MA # ( ‎ﮫ‎ → o ) CHỮ CÁI Ả RẬP HEH DOACHASHMEE DẠNG CUỐI CÙNG → CHỮ CÁI LATIN THƯỜNG O # →‎ﻪ‎→→‎ه‎→
FBAA ; 006F ; MA # ( ‎ﮪ‎ → o ) CHỮ CÁI Ả RẬP HEH DOACHASHMEE DẠNG RIÊNG BIỆT → CHỮ CÁI LATIN THƯỜNG O # →‎ه‎→
06C1 ; 006F ; MA # ( ‎ہ‎ → o ) CHỮ CÁI Ả RẬP HEH GOAL → CHỮ CÁI LATIN THƯỜNG O # →‎ه‎→
FBA8 ; 006F ; MA # ( ‎ﮨ‎ → o ) CHỮ CÁI Ả RẬP HEH DẠNG CHỮ CÁI ĐẦU TIÊN → CHỮ CÁI LATIN THƯỜNG O # →‎ہ‎→→‎ه‎→
FBA9 ; 006F ; MA # ( ‎ﮩ‎ → o ) CHỮ CÁI Ả RẬP HEH DẠNG TRUNG GIAN → CHỮ CÁI LATIN THƯỜNG O # →‎ہ‎→→‎ه‎→
FBA7 ; 006F ; MA # ( ‎ﮧ‎ → o ) CHỮ CÁI Ả RẬP HEH MỤC TIÊU DẠNG CUỐI CÙNG → CHỮ CÁI LATIN THƯỜNG O # →‎ہ‎→→‎ه‎→
FBA6 ; 006F ; MA # ( ‎ﮦ‎ → o ) CHỮ CÁI Ả RẬP HEH DẠNG ĐƠN LẬP → CHỮ CÁI LATIN THƯỜNG O # →‎ه‎→
06D5 ; 006F ; MA # ( ‎ە‎ → o ) CHỮ Ả RẬP AE → CHỮ NHỎ LATIN O # →‎ه‎→
0D20 ; 006F ; MA # ( ഠ → o ) THƯ MALAYALAM TTHA → CHỮ THƯ LATIN NHỎ O #
101D ; 006F ; MA # ( ဝ → o ) CHỮ MYANMAR WA → CHỮ NHỎ LATIN O #
104EA ; 006F ; MA # ( 𐓪 → o ) OSAGE CHỮ O THƯỜNG → LATIN CHỮ O THƯỜNG #
118C8 ; 006F ; MA # ( 𑣈 → o ) WARANG CITI CHỮ NHỎ E → CHỮ THƯ LATIN NHỎ O #
118D7 ; 006F ; MA # ( 𑣗 → o ) WARANG CITI CHỮ THƯỜNG BU → CHỮ LATIN CHỮ THƯỜNG O #
1042C ; 006F ; MA # ( 𐐬 → o ) CHỮ O DÀI CHỮ THƯỜNG DESERET → CHỮ O THƯỜNG LATIN #

0030 ; 004F ; MA # ( 0 → O ) CHỮ SỐ KHÔNG → CHỮ CÁI LATIN IN HOA O #
07C0 ; 004F ; MA # (‎‎ → O ) NKO CHỮ SỐ ZERO → CHỮ HOA LATIN O # →0→
0CE6 ; 004F ; MA # ( ೦ → O ) CHỮ SỐ 0 TRONG TIẾNG KANNADA → CHỮ CÁI HOA TRONG TIẾNG LATIN O #
3007 ; 004F ; MA # ( 〇 → O ) SỐ TƯỢNG HÌNH KHÔNG → CHỮ CÁI LATIN VIẾT HOA O #
118E0; 004F ; MA # ( 𑣠 → O ) WARANG CITI CHỮ SỐ ZERO → CHỮ HOA LATIN O # →0→
1CCF0 ; 004F ; MA # ( 𜳰 → O ) CHỮ SỐ KHÔNG VIẾT HOA → CHỮ CÁI LATIN VIẾT HOA O # →0→
1D7CE ; 004F ; MA # ( 𝟎 → O ) CHỮ SỐ IN ĐẬM TOÁN HỌC SỐ KHÔNG → CHỮ CÁI IN HOA LATIN O # →0→
1D7D8 ; 004F ; MA # ( 𝟘 → O ) CHỮ SỐ 0 GẠCH ĐÔI TRONG TOÁN HỌC → CHỮ CÁI LATIN VIẾT HOA O # →0→
1D7E2 ; 004F ; MA # ( 𝟢 → O ) CHỮ SỐ KHÔNG TOÁN HỌC KHÔNG CHÂN → CHỮ CÁI LATIN VIẾT HOA O # →0→
1D7EC ; 004F ; MA # ( 𝟬 → O ) CHỮ SỐ 0 KHÔNG → CHỮ HOA LATIN O # →0→
1D7F6 ; 004F ; MA # ( 𝟶 → O ) CHỮ SỐ ĐƠN KHÔNG TRONG TOÁN HỌC → CHỮ CÁI HOA LATIN O # →0→
1FBF0 ; 004F ; MA # ( 🯰 → O ) CHỮ SỐ KHÔNG PHÂN ĐOẠN → CHỮ CÁI HOA LATIN O # →0→
FF2F ; 004F ; MA # ( Ｏ → O ) CHỮ CÁI LATIN VIẾT HOA TOÀN CHIỀU RỘNG O → CHỮ CÁI LATIN VIẾT HOA O # →О→
1CCE4 ; 004F ; MA #* ( 𜳤 → O ) CHỮ CÁI LATIN VIẾT HOA O → CHỮ CÁI LATIN VIẾT HOA O #
1D40E ; 004F ; MA # ( 𝐎 → O ) CHỮ IN HOA TOÁN HỌC O → CHỮ IN HOA LATIN O #
1D442 ; 004F ; MA # ( 𝑂 → O ) CHỮ IN HOA TOÁN HỌC O → CHỮ IN HOA LATIN O #
1D476 ; 004F ; MA # ( 𝑶 → O ) CHỮ IN ĐẬM IN NGHIÊNG CHỮ IN HOA O → CHỮ IN HOA LATIN O #
1D4AA ; 004F ; MA # ( 𝒪 → O ) CHỮ CÁI TOÁN HỌC VIẾT HOA O → CHỮ CÁI LATIN VIẾT HOA O #
1D4DE ; 004F ; MA # ( 𝓞 → O ) CHỮ IN HOA TOÁN HỌC O → CHỮ IN HOA LATIN O #
1D512 ; 004F ; MA # ( 𝔒 → O ) TOÁN HỌC VỐN FRAKTUR O → CHỮ HOA LATIN O #
1D546 ; 004F ; MA # ( 𝕆 → O ) CHỮ O IN HOA HAI DẤU TRONG TOÁN HỌC → CHỮ O IN HOA TRONG LATIN #
1D57A ; 004F ; MA # ( 𝕺 → O ) TOÁN HỌC VỐN FRAKTUR VỐN O → CHỮ HOA LATIN O #
1D5AE ; 004F ; MA # ( 𝖮 → O ) CHỮ O VIẾT HOA TOÁN HỌC KHÔNG CHÂN → CHỮ O VIẾT HOA LATIN #
1D5E2 ; 004F ; MA # ( 𝗢 → O ) CHỮ IN HOA TOÁN HỌC KHÔNG CHÂN CHỮ IN ĐẬM O → CHỮ IN HOA LATIN O #
1D616 ; 004F ; MA # ( 𝘖 → O ) CHỮ IN HOA TOÁN HỌC KHÔNG CHÂN → CHỮ IN HOA LATIN O #
1D64A ; 004F ; MA # ( 𝙊 → O ) MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL O → LATIN CAPITAL LETTER O #
1D67E ; 004F ; MA # ( 𝙾 → O ) TOÁN HỌC VỐN KHÔNG GIAN O → CHỮ HOA LATIN O #
039F ; 004F ; MA # ( Ο → O ) CHỮ CÁI HY LẠP VIẾT HOA OMICRON → CHỮ CÁI LATIN VIẾT HOA O #
1D6B6 ; 004F ; MA # ( 𝚶 → O ) CHỮ IN HOA TOÁN HỌC OMICRON → CHỮ IN HOA LATIN O # →𝐎→
1D6F0 ; 004F ; MA # ( 𝛰 → O ) CHỮ IN HOA TOÁN HỌC OMICRON → CHỮ IN HOA LATIN O # →𝑂→
1D72A ; 004F ; MA # ( 𝜪 → O ) CHỮ IN ĐẬM IN NGHIÊNG IN HOA OMICRON → CHỮ IN HOA LATIN O # →𝑶→
1D764 ; 004F ; MA # ( 𝝤 → O ) MATHEMATICAL SANS-SERIF BOLD CAPITAL OMICRON → LATIN CAPITAL LETTER O # →Ο→
1D79E ; 004F ; MA # ( 𝞞 → O ) MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL OMICRON → LATIN CAPITAL LETTER O # →Ο→
2C9E ; 004F ; MA # ( Ⲟ → O ) CHỮ CÁI HOA COPTIC O → CHỮ CÁI HOA LATIN O #
041E ; 004F ; MA # ( О → O ) CHỮ CHỮ VIẾT HOA CYRILLIC O → CHỮ HOA LATIN HOA O #
0555 ; 004F ; MA # ( Օ → O ) CHỮ CÁI HOA ARMENIA OH → CHỮ CÁI HOA LATIN O #
2D54 ; 004F ; MA # ( ⵔ → O ) CHỮ TIFINAGH YAR → CHỮ HOA LATIN O #
12D0; 004F ; MA # ( ዐ → O ) ÂM TIẾT ETHIOPIC PHARYNGEAL A → CHỮ VIẾT HOA LATIN O # →µ→
0B20 ; 004F ; MA # ( ଠ → O ) THƯ ORIYA TTHA → CHỮ HOA LATIN O #
104C2 ; 004F ; MA # ( 𐓂 → O ) OSAGE CHỮ CÁI IN HOA O → LATIN CHỮ CÁI IN HOA O #
A4F3 ; 004F ; MA # ( ꓳ → O ) LISU CHƯ O → CHỮ HOA LATIN O #
118B5 ; 004F ; MA # ( 𑢵 → O ) WARANG CITI CHỮ IN HOA AT → CHỮ IN HOA LATIN O #
10292 ; 004F ; MA # ( 𐊒 → O ) CHỮ LYCIAN U → CHỮ HOA LATIN O #
102AB; 004F ; MA # ( 𐊫 → O ) CHỮ CARIAN O → CHỮ HOA LATIN O #
10404 ; 004F ; MA # ( 𐐄 → O ) CHỮ CÁI HOA DÀI KIỂU DESERET → CHỮ CÁI HOA KIỂU LATIN #
10516 ; 004F ; MA # ( 𐔖 → O ) CHỮ CÁI O TRONG TIẾNG ELBASAN → CHỮ CÁI O TRONG TIẾNG LATIN VIẾT HOA #
11DE0 ; 004F ; MA # ( 𑷠 → O ) TOLONG SIKI CHỮ SỐ KHÔNG → CHỮ CÁI LATIN VIẾT HOA O # →0→

2070 ; 00BA ; MA #* ( ⁰ → º ) CHỈ SỐ TRÊN 0 → CHỈ SỐ THỨ TỰ GIỐNG HỌ #
1D52 ; 00BA ; MA # ( ᵒ → º ) CHỮ CÁI BỔ SUNG O NHỎ → CHỈ SỐ THỨ TỰ GIỐNG HỌC # →⁰→

01D2 ; 014F ; MA # ( ǒ → ŏ ) CHỮ CÁI LATIN THƯỜNG O CÓ DẤU CARON → CHỮ CÁI LATIN THƯỜNG O CÓ DẤU BREVE #

